Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"EK Adae","This Is What We Fight for: Examining CEO Activism Issues",2023,"CEOs on a Mission: Reimagining CEO Activism …","emerald.com","https://www.emerald.com/insight/content/doi/10.1108/978-1-80382-215-020231005/full/html","",22,"2025-02-06 14:45:45","","10.1108/978-1-80382-215-020231005","","",,,,,0,0.00,0,1,2,"… Some examples of CEO activism campaign issues have included gender rights, same-sex … the literature on CEO activism by contributing specific examples of CEO activism issues, from …","","https://scholar.google.com/scholar?q=related:hTnP3hVV73kJ:scholar.google.com/&scioq=%22ceo%22+%22activism%22%7C%22activist%22&hl=en&as_sdt=2007&as_ylo=2014&as_yhi=2023"
0,"EK Adae","Profiting From Experience: Examining CEO Activism Guidelines",2023,"CEOs on a Mission","emerald.com","https://www.emerald.com/insight/content/doi/10.1108/978-1-80382-215-020231009","",25,"2025-02-06 14:45:45","","10.1108/978-1-80382-215-020231009","","",,,,,0,0.00,0,1,2,"… In order to survive the perceived bloody ocean of CEO activism, the informants in this study urge all activist CEOs to ensure that their survival toolkit includes the buoy of mistrust for …","https://scholar.google.com/scholar?output=instlink&q=info:feNDGvvA474J:scholar.google.com/&hl=en&as_sdt=2007&as_ylo=2014&as_yhi=2023&scillfp=12437968987382329973&oi=lle","https://scholar.google.com/scholar?q=related:feNDGvvA474J:scholar.google.com/&scioq=%22ceo%22+%22activism%22%7C%22activist%22&hl=en&as_sdt=2007&as_ylo=2014&as_yhi=2023"
0,"EK Adae","Taking Cover: Examining CEO Activism Safeguards",2023,"CEOs on a Mission","emerald.com","https://www.emerald.com/insight/content/doi/10.1108/978-1-80382-215-020231008","",29,"2025-02-06 14:45:45","","10.1108/978-1-80382-215-020231008","","",,,,,0,0.00,0,1,2,"… to activist CEOs to protect themselves. This study seeks to address the woeful dearth of scholarly work on CEO activism, … , by focusing on how activist CEOs protect themselves from the …","https://scholar.google.com/scholar?output=instlink&q=info:SgY8bPO0OAUJ:scholar.google.com/&hl=en&as_sdt=2007&as_ylo=2014&as_yhi=2023&scillfp=612443055043206579&oi=lle","https://scholar.google.com/scholar?q=related:SgY8bPO0OAUJ:scholar.google.com/&scioq=%22ceo%22+%22activism%22%7C%22activist%22&hl=en&as_sdt=2007&as_ylo=2014&as_yhi=2023"
0,"EK Adae","Introduction: Reimagining CEO Activism, Development, and Difference",2023,"CEOs on a Mission: Reimagining CEO Activism …","emerald.com","https://www.emerald.com/insight/content/doi/10.1108/978-1-80382-215-020231001/full/html","",30,"2025-02-06 14:45:45","","10.1108/978-1-80382-215-020231001","","",,,,,0,0.00,0,1,2,"… CEO activism in Ghana. The mission is to rethink scholarship and the practice of CEO activism … It seeks to consider some ways in which scholarship and the practice of CEO activism …","","https://scholar.google.com/scholar?q=related:YkZ2mXoR-xQJ:scholar.google.com/&scioq=%22ceo%22+%22activism%22%7C%22activist%22&hl=en&as_sdt=2007&as_ylo=2014&as_yhi=2023"
0,"EK Adae","Walking the Talk: Africapitalism as a Major Motivation for CEO Activism",2023,"CEOs on a Mission","emerald.com","https://www.emerald.com/insight/content/doi/10.1108/978-1-80382-215-020231004","",36,"2025-02-06 14:45:45","","10.1108/978-1-80382-215-020231004","","",,,,,0,0.00,0,1,2,"… that CEO activism in Ghana is motivated by Africapitalism, and the idea that CEO activism is … surrounding CEO activism are contributing to the institutionalization of the phenomenon. …","https://scholar.google.com/scholar?output=instlink&q=info:3FAe6_5cvh8J:scholar.google.com/&hl=en&as_sdt=2007&as_ylo=2014&as_yhi=2023&scillfp=1236643535262111404&oi=lle","https://scholar.google.com/scholar?q=related:3FAe6_5cvh8J:scholar.google.com/&scioq=%22ceo%22+%22activism%22%7C%22activist%22&hl=en&as_sdt=2007&as_ylo=2014&as_yhi=2023"
0,"EK Adae, G Gondwe, J Macary","The CEO Activism Playbook: An Empirical African Perspective from Ghana",2023,"Public Relations Management in Africa …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-26704-8_9","",50,"2025-02-06 14:45:45","","10.1007/978-3-031-26704-8_9","","",,,,,0,0.00,0,3,2,"… CEO activism guidelines question. Data collection involved interviews with 24 men and women who self-identified as activist … literature on guidelines for activist CEO campaigns. It offers …","https://www.researchgate.net/profile/Greg_Gondwe/publication/372321448_The_CEO_Activism_Playbook_An_Empirical_African_Perspective_from_Ghana/links/65f22503286738732d3e368a/The-CEO-Activism-Playbook-An-Empirical-African-Perspective-from-Ghana.pdf","https://scholar.google.com/scholar?q=related:BcxDfANjSd0J:scholar.google.com/&scioq=%22ceo%22+%22activism%22%7C%22activist%22&hl=en&as_sdt=2007&as_ylo=2014&as_yhi=2023"
0,"C Plath","Which corporations are likely to engage in LGBTQ+ activism?",2020,"","repositorio.ucp.pt","https://repositorio.ucp.pt/handle/10400.14/39906","",69,"2025-02-06 14:45:45","","","","",,,,,0,0.00,0,1,5,"… Problem Statement This thesis aims to understand which corporations engage in LGBTQ+ activism in relations to CEO activism and the upper – echelon theory. Are the CEOs and their …","https://repositorio.ucp.pt/bitstream/10400.14/39906/1/202531503.pdf","https://scholar.google.com/scholar?q=related:DxZRcB2mCy8J:scholar.google.com/&scioq=%22ceo%22+%22activism%22%7C%22activist%22&hl=en&as_sdt=2007&as_ylo=2014&as_yhi=2023"
0,"M Sawyer, M Friestedt","Changing Management in the Face of Shareholder Activism: Issues to Consider",2014,"Harv. Bus. L. Rev. Online","HeinOnline","https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/hblro5&section=7","",79,"2025-02-06 14:45:45","","","","",,,,,0,0.00,0,2,11,"… These characteristics may be informed in part by the activist's criticisms of the outgoing CEO, but should also account for the directors' own views regarding the company's strategic …","https://journals.law.harvard.edu/hblr/wp-content/uploads/sites/87/2015/03/Sawyer-Changing-Management-in-the-Face-of-Shareholder-Activism.pdf","https://scholar.google.com/scholar?q=related:LVAcbfZWuZoJ:scholar.google.com/&scioq=%22ceo%22+%22activism%22%7C%22activist%22&hl=en&as_sdt=2007&as_ylo=2014&as_yhi=2023"
0,"MC Zaccone","PUNISHMENT REACTIONS AND ACTIVISM TOWARDS CEOS AND CORPORATIONS IN THE US",2021,"","tesidottorato.depositolegale.it","https://tesidottorato.depositolegale.it/handle/20.500.14242/159048","",84,"2025-02-06 14:45:45","HTML","","","",,,,,0,0.00,0,1,4,"… shareholder activism and stakeholder reaction towards specific CEO-level … CEO pay and firm performance; shareholder activism towards CEO’s use of language; shareholder activism …","https://tesidottorato.depositolegale.it/handle/20.500.14242/159048","https://scholar.google.com/scholar?q=related:Qdrjewj7ALgJ:scholar.google.com/&scioq=%22ceo%22+%22activism%22%7C%22activist%22&hl=en&as_sdt=2007&as_ylo=2014&as_yhi=2023"
0,"EK Adae, GE Sikanku","Mixing Business with Politics: A Framing Analysis of Sir Sam Jonah's “Down the Up Escalator” Activist CEO Speech of April 22, 2021",2023,"Public Relations Management in Africa Volume 2 …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-32751-3_10","",87,"2025-02-06 14:45:45","","10.1007/978-3-031-32751-3_10","","",,,,,0,0.00,0,2,2,"… more CEOs are taking activist stances, this chapter addresses the dearth of literature on CEO activism within non-Western contexts by analyzing an external-facing activist CEO speech, “…","","https://scholar.google.com/scholar?q=related:U8_wQh6mz-oJ:scholar.google.com/&scioq=%22ceo%22+%22activism%22%7C%22activist%22&hl=en&as_sdt=2007&as_ylo=2014&as_yhi=2023"
