ISSN,FIELD,JOURNAL TITLE,PUBLISHER,AJG2021,AJG2018,,source:,https://journalranking.org/
1097-0266,STRAT,Strategic Management Journal,Wiley-Blackwell,4*,4*,,,
1545-2115,SOC SCI,Annual Review of Sociology,Annual Reviews Inc.,4*,4*,,,
1939-8271,SOC SCI,American Sociological Review,SAGE,4*,4*,,,
1537-5390,SOC SCI,American Journal of Sociology,University of Chicago Press,4*,4*,,,
1540-6210,PUB SEC,Public Administration Review,Wiley-Blackwell,4*,4*,,,
1744-6570,PSYCH (WOP-OB),Personnel Psychology,Wiley-Blackwell,4*,4,,,
1939-1854,PSYCH (WOP-OB),Journal of Applied Psychology,APA,4*,4*,,,
1467-9280,PSYCH (GENERAL),Psychological Science,SAGE,4*,4*,,,
1526-5455,ORG STUD,Organization Science,Institute for Operations Research and the Management Sciences,4*,4*,,,
1526-5463,OR&MANSCI,Operations Research,Institute for Operations Research and the Management Sciences,4*,4*,,,
1526-5501,OR&MANSCI,Management Science,Institute for Operations Research and the Management Sciences,4*,4*,,,
1873-1317,OPS&TECH,Journal of Operations Management,Wiley-Blackwell,4*,4*,,,
1526-548X,MKT,Marketing Science,Institute for Operations Research and the Management Sciences,4*,4*,,,
1552-7824,MKT,Journal of the Academy of Marketing Science,Springer Nature,4*,4*,,,
1547-7193,MKT,Journal of Marketing Research,American Marketing Association,4*,4*,,,
1547-7185,MKT,Journal of Marketing,SAGE,4*,4*,,,
1537-5277,MKT,Journal of Consumer Research,Oxford University Press,4*,4*,,,
1532-7663,MKT,Journal of Consumer Psychology,Wiley-Blackwell,4*,4*,,,
1944-9585,MDEV&EDU,Academy of Management Learning and Education,George Washington University,4*,4,,,
1873-7625,INNOV,Research Policy,Elsevier,4*,4*,,,
2162-9730,INFO MAN,MIS Quarterly: Management Information Systems,University of Minnesota,4*,4*,,,
1558-3457,INFO MAN,Journal of the Association for Information Systems,Association for Information Systems,4*,4,,,
1526-5536,INFO MAN,Information Systems Research,Institute for Operations Research and the Management Sciences,4*,4*,,,
1478-6990,IB&AREA,Journal of International Business Studies,Springer Nature,4*,4*,,,
1748-8583,HRM&EMP,Human Resource Management Journal (UK),Wiley-Blackwell,4*,4,,,
1465-7368,FINANCE,Review of Financial Studies,Oxford University Press,4*,4*,,,
0304-405X,FINANCE,Journal of Financial Economics,Elsevier,4*,4*,,,
1540-6261,FINANCE,Journal of Finance,Wiley-Blackwell,4*,4*,,,
1557-1211,ETHICS-CSR-MAN,Journal of Management,SAGE,4*,4*,,,
1930-3815,ETHICS-CSR-MAN,Administrative Science Quarterly,Cornell University Press,4*,4*,,,
1930-3807,ETHICS-CSR-MAN,Academy of Management Review,Academy of Management,4*,4*,,,
1948-0989,ETHICS-CSR-MAN,Academy of Management Journal,Academy of Management,4*,4*,,,
1941-6067,ETHICS-CSR-MAN,Academy of Management Annals,Academy of Management,4*,4,,,
1467-937X,ECON,Review of Economic Studies,Oxford University Press,4*,4*,,,
1531-4650,ECON,Quarterly Journal of Economics,Oxford University Press,4*,4*,,,
1537-534X,ECON,Journal of Political Economy,University of Chicago Press,4*,4*,,,
1468-0262,ECON,Econometrica,Wiley-Blackwell,4*,4*,,,
2168-8966,ECON,Annals of Statistics,Institute of Mathematical Statistics,4*,4*,,,
1944-7981,ECON,American Economic Review,American Economic Association,4*,4*,,,
1475-679X,ACCOUNT,Journal of Accounting Research,Wiley-Blackwell,4*,4*,,,
1879-1980,ACCOUNT,Journal of Accounting and Economics,Elsevier,4*,4*,,,
1873-6289,ACCOUNT,"Accounting, Organizations and Society",Elsevier,4*,4*,,,
1558-7967,ACCOUNT,Accounting Review,American Accounting Association,4*,4*,,,
2042-5805,STRAT,Global Strategy Journal,Wiley-Blackwell,4,3,,,
1467-9566,SOC SCI,Sociology of Health and Illness,Wiley-Blackwell,4,4,,,
1469-8684,SOC SCI,Sociology,SAGE,4,4,,,
1873-5347,SOC SCI,Social Science and Medicine,Elsevier,4,4,,,
