Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,R Gong,Peers' performance and sensitivity of investment to peers' stock price: Examining the moderating role of CEO overconfidence,2025,Journal of Business Research,Elsevier,https://www.sciencedirect.com/science/article/pii/S0148296324004521,,107,12/12/24 10:04,,,,,,,,,0,0,0,1,1,"… propose that overconfident CEOs, relative to other CEOs, are … This is because overconfident CEOs think that their firms are … Therefore, I propose that overconfident CEO in the focal firm …",,https://scholar.google.com/scholar?q=related:_u83rqV1ztQJ:scholar.google.com/&scioq=ceo+activist+or+ceo+activism&hl=en&as_sdt=2007&as_ylo=2024
0,"N Bofu-Tawamba, R Bright, S Clohesy, C Grumm, ...",The Uprising of Women in Philanthropy,2025,,library.oapen.org,https://library.oapen.org/handle/20.500.12657/93121,,220,12/12/24 10:04,,,,,,,,,0,0,0,5,1,"… “Women have been philanthropic actors and activists in the … This book tells the important stories of the activism and … skilled CEOs, philanthropists, and women’s rights activists drawn …",https://library.oapen.org/bitstream/handle/20.500.12657/93121/1/9781040126189.pdf,https://scholar.google.com/scholar?q=related:vfsCdTbOxu4J:scholar.google.com/&scioq=ceo+activist+or+ceo+activism&hl=en&as_sdt=2007&as_ylo=2024
0,"K Chirindo, PC Pezzullo",Soy Porque Somos: Touring and Planting Trees as Convivial Rhetoric on a Precarious Planet,2025,The Routledge Handbook of Rhetoric …,taylorfrancis.com,https://www.taylorfrancis.com/chapters/edit/10.4324/9781003430858-35/soy-porque-somos-kundai-chirindo-phaedra-pezzullo,,362,12/12/24 10:04,,10.4324/9781003430858-35,,,,,,,0,0,0,2,1,"… site in the history of environmental activism in Kenya. Karura is … Through acting and speaking collectively, these activists not … Movement and those of other tree activists, then, success is …",,https://scholar.google.com/scholar?q=related:slQxq61MxvYJ:scholar.google.com/&scioq=ceo+activist+or+ceo+activism&hl=en&as_sdt=2007&as_ylo=2024
55,"A Mkrtchyan, J Sandvik, VZ Zhu",CEO activism and firm value,2024,Management Science,pubsonline.informs.org,https://pubsonline.informs.org/doi/abs/10.1287/mnsc.2023.4971,https://scholar.google.com/scholar?cites=15244440712758003719&as_sdt=2005&sciodt=2007&hl=en,1,12/12/24 10:04,,10.1287/mnsc.2023.4971,,,,,,,55,55,18,3,1,… activist CEOs and/or directors with activism exposure into firms with higher valuations or (ii) be driven by other unobservable factors. We therefore urge readers to exercise considerable …,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=3699082,https://scholar.google.com/scholar?q=related:B4hxSw8ij9MJ:scholar.google.com/&scioq=ceo+activist+or+ceo+activism&hl=en&as_sdt=2007&as_ylo=2024
1,"F Rumstadt, DK Kanbach, J Arweck, TK Maran, ...",CEO activism is not equal to CEO activism: a typology of executives' political statements,2024,Management …,emerald.com,https://www.emerald.com/insight/content/doi/10.1108/MD-07-2023-1297/full/html,https://scholar.google.com/scholar?cites=11389667443570502654&as_sdt=2005&sciodt=2007&hl=en,2,12/12/24 10:04,HTML,10.1108/MD-07-2023-1297,,,,,,,1,1,0,5,1,"… Thus, the aim of this paper is to provide an archetypal framework for CEO activism. … several archetypes of CEO activists’ statements and not the archetypes of CEO activists themselves. …",https://www.emerald.com/insight/content/doi/10.1108/MD-07-2023-1297/full/html,https://scholar.google.com/scholar?q=related:_uvZ4zE6EJ4J:scholar.google.com/&scioq=ceo+activist+or+ceo+activism&hl=en&as_sdt=2007&as_ylo=2024
5,"A Mkrtchyan, J Sandvik, D Xu",Employee responses to CEO activism,2024,Journal of Accounting and Economics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0165410124000314,https://scholar.google.com/scholar?cites=1180175017434025814&as_sdt=2005&sciodt=2007&hl=en,3,12/12/24 10:04,,,,,,,,,5,5,2,3,1,"… with activist CEOs, we report ratings prior to the first activism … in CEO activism activity, we restrict the sample of CEO activist … activist CEOs succeed non-activist CEOs (86/113 of activist …",https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4506862,https://scholar.google.com/scholar?q=related:Vg_y7uzSYBAJ:scholar.google.com/&scioq=ceo+activist+or+ceo+activism&hl=en&as_sdt=2007&as_ylo=2024
8,"A Feix, G Wernicke",When Is CEO Activism Conducive to the Democratic Process?,2024,Journal of Business Ethics,Springer,https://link.springer.com/article/10.1007/s10551-023-05446-5,https://scholar.google.com/scholar?cites=3083050514767988544&as_sdt=2005&sciodt=2007&hl=en,4,12/12/24 10:04,,10.1007/s10551-023-05446-5,,,,,,,8,8,4,2,1,"… CEO activism for the democratic process. Drawing on political philosophy, we show that the answer to the question of whether CEO activism … In fact, activist declarations made by CEOs …",,https://scholar.google.com/scholar?q=related:QMdUxRsyySoJ:scholar.google.com/&scioq=ceo+activist+or+ceo+activism&hl=en&as_sdt=2007&as_ylo=2024
5,"SC Jackson, KM Rennekamp, ...",CEO gender and responses to shareholder activism,2024,Contemporary …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/1911-3846.12962,https://scholar.google.com/scholar?cites=10753394748676246591&as_sdt=2005&sciodt=2007&hl=en,5,12/12/24 10:04,,10.1111/1911-3846.12962,,,,,,,5,5,2,3,1,"… female CEOs are more likely to cooperate with activist … of CEO gender and the CEO's response to the activists. For gender, we ask participants, “What was the gender of Zetha, Inc.'s CEO…",https://onlinelibrary.wiley.com/doi/pdf/10.1111/1911-3846.12962,https://scholar.google.com/scholar?q=related:PwxmzIy7O5UJ:scholar.google.com/&scioq=ceo+activist+or+ceo+activism&hl=en&as_sdt=2007&as_ylo=2024
1,"K Acharya, MA Abebe, M Kroll, ...",The Executive Bully Pulpit: Drivers of CEO Sociopolitical Activism in the Wake of Social Movements,2024,… An International Review,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/corg.12613,https://scholar.google.com/scholar?cites=4582114953204063044&as_sdt=2005&sciodt=2007&hl=en,6,12/12/24 10:04,,10.1111/corg.12613,,,,,,,1,1,0,4,1,… This begs the question: Why do some CEOs become sociopolitical activists while others remain on the “sidelines”? This study addresses this question by exploring the notion of the …,,https://scholar.google.com/scholar?q=related:RNu72UXxlj8J:scholar.google.com/&scioq=ceo+activist+or+ceo+activism&hl=en&as_sdt=2007&as_ylo=2024
40,"ID Gow, SPS Shin, S Srinivasan",Activist directors: Determinants and consequences,2024,Review of Accounting Studies,Springer,https://link.springer.com/article/10.1007/s11142-023-09767-8,https://scholar.google.com/scholar?cites=879927768656167632&as_sdt=2005&sciodt=2007&hl=en,7,12/12/24 10:04,,10.1007/s11142-023-09767-8,,,,,,,40,40,13,3,1,"… activist demands. Using a sample of 3,259 activism events from 2004 to 2016, we identify 1,623 activist … We find that activism of all three kinds are associated with CEO exit (coefficients …",https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4321778,https://scholar.google.com/scholar?q=related:0MLAvqQhNgwJ:scholar.google.com/&scioq=ceo+activist+or+ceo+activism&hl=en&as_sdt=2007&as_ylo=2024
