"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"AJN2ZWFD","journalArticle","2025","Barros Amon; Rosenthal, Benjamin; Coelho Caio; Bruno, Leandro","‘Brazil must be a country for entrepreneurs and workers, not scoundrels’: Personal branding mechanisms underpinning CEO activism","Human Relations","","00187267","10.1177/00187267241229036","https://www.proquest.com/scholarly-journals/brazil-must-be-country-entrepreneurs-workers-not/docview/3149077440/se-2?accountid=12006","Chief executive officer (CEO) activism literature primarily explores issues in which CEOs engage, and its consequences for consumers and employees. However, a glaring gap lies in how CEOs engage in activism, particularly, through social media. Our study aims to bridge this gap by analyzing the online identity of Luciano Hang, a Brazilian CEO, activist, and billionaire, focusing on the crafting of Hang’s online identity, particularly on Instagram, using five personal branding mechanisms to influence broad sociopolitical issues. Hang’s unique case offers a lens for right-wing CEO activism, contrasting with mostly progressive cases in the western contexts. Using critical visual analysis to decode the Instagram content posted by Hang, who actively advocates for political conservatism, entrepreneurism, and economic liberalism, we find that CEO activists do not merely speak on specific issues, but carefully construct their online identity aligning with or challenging social norms and values. Our research extends the understanding of CEO activism by revealing its heterogeneous nature and connecting organization studies and marketing, in addition to demonstrating how CEOs can leverage personal branding to portray themselves as activists.","2025-01","2025-02-06 16:37:35","2025-02-06 16:37:35","","32-58","","1","78","","","","","","","","","","English","","","ABI/INFORM Collection; International Bibliography of the Social Sciences (IBSS); ProQuest One Psychology; Worldwide Political Science Abstracts","3149077440","","","Place: Thousand Oaks Publisher: SAGE PUBLICATIONS, INC.","","","https://libkey.io/libraries/3027/openurl?ctx_ver=Z39.88-2004&ctx_enc=info:ofi/enc:UTF-8&rfr_id=info:sid/ProQuest&rft_val_fmt=journal&rft.genre=article&rft.jtitle=Human+Relations&rft.atitle=%26lsquo%3BBrazil+must+be+a+country+for+entrepreneurs+and+workers%2C+not+scoundrels%26rsquo%3B%3A+Personal+branding+mechanisms+underpinning+CEO+activism&rft.au=Barros+Amon%3BRosenthal%2C+Benjamin%3BCoelho+Caio%3BBruno%2C+Leandro.&rft.aulast=Barros+Amon&rft.aufirst=&rft.date=2025-01-01&rft.volume=78&rft.issue=1&rft.spage=32&rft.isbn=&rft.btitle=&rft.title=Human+Relations&rft.issn=00187267&rft_id=info:doi/10.1177%2F00187267241229036","Activism; Activists; anti-leftism; Brazil; CEO activism; Chief executive officers; Chief executives; Conservatism; Consumers; entrepreneur; Entrepreneurs; Executives (Business); Identity; Liberalism; Marketing; online identity; Personal brand; personal branding; Right wing politics; right-wing; social media; Social media; Social norms; Social values; Sociology; sociopolitical issues","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3C5YK25D","journalArticle","2025","Hamelberg Kedma; de Ruyter Ko; van Dolen Willemijn; Konuş Umut","Finding the Right Voice: How CEO Communication on the Russia–Ukraine War Drives Public Engagement and Digital Activism: JPP&M","Journal of Public Policy & Marketing","","07439156","10.1177/07439156241230910","https://www.proquest.com/scholarly-journals/finding-right-voice-how-ceo-communication-on/docview/3142652431/se-2?accountid=12006","This research examines the influence of CEO versus brand communication on public engagement and digital activism during the Russia–Ukraine war. Brand communication refers to messages sent out through an organization's social media accounts, whereas CEO communication comes from the executive's personal account. The authors depart from an analysis of 236,119 tweets investigating the effects of message sender (CEO vs. brand), message framing (self vs. other), and message appeal (informational vs. emotional) on engagement (i.e., likes, retweets, and replies). To further understand, they subsequently deploy a 2 × 2 between-subjects design (N = 608) that introduces scenarios where either a CEO or brand proposes a public policy campaign, advocating support for U.S. citizens (self framing) or Ukrainian civilians (other framing). Key findings reveal that CEO communications foster greater engagement and digital activism than brand messages. CEO communication that merges self framed with informational appeals or other framed with emotional appeals outperforms brand messages regarding public engagement. In addition, CEO campaigns centered on Ukrainian civilians amplify digital activism, mirroring findings when brands approach the war's implications for U.S. citizens. Together, these insights unveil the intricate dance of message sender, framing, and appeal during global geopolitical events, providing vital knowledge for organizations and policy makers aiming to optimize public backing in times of war.","2025-01","2025-02-06 16:37:35","2025-02-06 16:37:35","","140-159","","1","44","","","","","","","","","","English","","","ABI/INFORM Collection; PAIS Index","3142652431","","","Place: Chicago Publisher: SAGE PUBLICATIONS, INC.","","","https://libkey.io/libraries/3027/openurl?ctx_ver=Z39.88-2004&ctx_enc=info:ofi/enc:UTF-8&rfr_id=info:sid/ProQuest&rft_val_fmt=journal&rft.genre=article&rft.jtitle=Journal+of+Public+Policy+%26+Marketing&rft.atitle=Finding+the+Right+Voice%3A+How+CEO+Communication+on+the+Russia%26ndash%3BUkraine+War+Drives+Public+Engagement+and+Digital+Activism%3A+JPP%26amp%3BM&rft.au=Hamelberg+Kedma%3Bde+Ruyter+Ko%3Bvan+Dolen+Willemijn%3BKonu%C5%9F+Umut.&rft.aulast=Hamelberg+Kedma&rft.aufirst=&rft.date=2025-01-01&rft.volume=44&rft.issue=1&rft.spage=140&rft.isbn=&rft.btitle=&rft.title=Journal+of+Public+Policy+%26+Marketing&rft.issn=07439156&rft_id=info:doi/10.1177%2F07439156241230910","Activism; Business And Economics--Marketing And Purchasing; chief executive officer communication; Chief executive officers; Citizens; Communication; digital activism; Frame analysis; Geopolitics; message appeal; message framing; Policy making; public engagement; Public policy; Russia; Russia-Ukraine War; Social media; Ukraine; United States--US; war; War","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QFVMH4AH","journalArticle","2024","McKean, Anna E; King, Brayden G","When ideologies align: Progressive corporate activism and within‐firm ideological alignment","Strategic Management Journal","","01432095","10.1002/smj.3632","https://www.proquest.com/scholarly-journals/when-ideologies-align-progressive-corporate/docview/3128088807/se-2?accountid=12006","Research SummaryThis article examines the association between ideology and firm participation in sociopolitical activism. In particular, it focuses on the ideological alignment between a firm's upper echelons and its general employees. We theorize that participation in progressive corporate activism reflects the ideological views of both the top management team and general employees. By examining firm participation in letter campaigns supporting progressive causes, our findings indicate that ideological alignment between a top management teams and general employees' liberal political leanings is associated with a firm's participation in progressive corporate activism. The CEO's own ideological preferences do not have an independent association with this kind of activism. This article concludes with a discussion of implications for our understanding of corporate political action and nonmarket strategy.Managerial SummaryThis article looks at the relationship between political ideology and firm participation in sociopolitical activism. Although some have argued that firms' activism reflects a CEO's ideological preferences or employee activism, we find that neither explanation fully accounts for the kinds of companies that engage in this kind of activism. We find that progressive corporate activism reflects the ideological views of both top management and general employees. Our findings suggest that companies that have ideological alignment on progressive issues are more likely to take public stands on those issues because the stands reinforce core values held by employees and the top management.","2024-12","2025-02-06 16:37:35","2025-02-06 21:08:38","","2459-2518","","12","45","","","","","","","","","","English","","","ABI/INFORM Collection; International Bibliography of the Social Sciences (IBSS)","3128088807","","","Place: Chicago Publisher: Wiley Periodicals Inc.","","","https://libkey.io/libraries/3027/openurl?ctx_ver=Z39.88-2004&ctx_enc=info:ofi/enc:UTF-8&rfr_id=info:sid/ProQuest&rft_val_fmt=journal&rft.genre=article&rft.jtitle=Strategic+Management+Journal&rft.atitle=When+ideologies+align%3A+Progressive+corporate+activism+and+within%E2%80%90firm+ideological+alignment&rft.au=McKean%2C+Anna+E%3BKing%2C+Brayden+G.&rft.aulast=McKean&rft.aufirst=Anna&rft.date=2024-12-01&rft.volume=45&rft.issue=12&rft.spage=2459&rft.isbn=&rft.btitle=&rft.title=Strategic+Management+Journal&rft.issn=01432095&rft_id=info:doi/10.1002%2Fsmj.3632","Activism; Business And Economics--Management; Chief executives; corporate activism; Corporate activism; Corporate management; Corporates; Employees; Human resource management; Ideology; Liberalism; Management journals; Management teams; Non-market strategy; nonmarket strategy; Organizational behavior; Participation; Political action; Political activism; Political ideologies; political ideology; Social activism; social movements; Social movements; Sociopolitical factors; Strategic management; Top management; Top management teams; upper echelons; Upper echelons; Upper management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FQR9DBMP","journalArticle","2024","Mkrtchyan, Anahit; Sandvik, Jason; Zhu, Vivi Z","CEO Activism and Firm Value","Management Science","","00251909","10.1287/mnsc.2023.4971","https://www.proquest.com/scholarly-journals/ceo-activism-firm-value/docview/3124135287/se-2?accountid=12006","We investigate the increasingly common practice of chief executive officers (CEOs) taking public stances on social and political issues (CEO activism). We find that CEO activism stems from a CEO's personal ideology and its alignment with investor, employee, and customer ideologies. We show that CEO activism results in positive market reactions. Furthermore, firms with CEO activism realize increased shareholdings from investors with a greater liberal leaning, who rebalance their portfolios toward these firms. Our results suggest that investors' socio-political preferences are an important channel through which CEO activism affects equity demand and stock prices. Notably, CEOs are less likely to be fired when their activist stances generate positive market responses.","2024-10","2025-02-06 16:37:35","2025-02-06 21:08:20","","6519","","10","70","","","","","","","","","","English","","","ABI/INFORM Collection; International Bibliography of the Social Sciences (IBSS); ProQuest One Psychology","3124135287","","","Place: Linthicum Publisher: Institute for Operations Research and the Management Sciences","","","https://libkey.io/libraries/3027/openurl?ctx_ver=Z39.88-2004&ctx_enc=info:ofi/enc:UTF-8&rfr_id=info:sid/ProQuest&rft_val_fmt=journal&rft.genre=article&rft.jtitle=Management+Science&rft.atitle=CEO+Activism+and+Firm+Value&rft.au=Mkrtchyan%2C+Anahit%3BSandvik%2C+Jason%3BZhu%2C+Vivi+Z.&rft.aulast=Mkrtchyan&rft.aufirst=Anahit&rft.date=2024-10-01&rft.volume=70&rft.issue=10&rft.spage=6519&rft.isbn=&rft.btitle=&rft.title=Management+Science&rft.issn=00251909&rft_id=info:doi/10.1287%2Fmnsc.2023.4971","Activism; Business And Economics--Labor And Industrial Relations; Chief executive officer; Chief executive officer activism; Chief executive officers; Chief executives; Commerce; Firm value; Ideology; Institutional investors; Investors; Market reactions; Market response; Political issues; Portfolios; Prices; Shareholdings; Social issues; Stock price; Stock prices","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73IJF5N8","journalArticle","2024","Jackson, Scott C; Rennekamp, Kristina M; Steenhoven, Blake A","CEO gender and responses to shareholder activism","Contemporary Accounting Research","","08239150","10.1111/1911-3846.12962","https://www.proquest.com/scholarly-journals/ceo-gender-responses-shareholder-activism/docview/3105621046/se-2?accountid=12006","Recent literature finds that firms led by female CEOs are more likely to be targeted by activist shareholders and that female CEOs are more likely to cooperate with activist shareholders' requests. Our study complements this literature by using two controlled experiments and a series of semi‐structured interviews with CEOs and CFOs to investigate how a CEO's response to shareholder activism influences investors' reactions and whether these reactions differ depending on the gender of the CEO or on how their response is explained. In the first experiment, we find that investors evaluate a firm as less attractive when a female CEO uses an uncooperative response rather than a cooperative response to shareholder activism, absent any explanation for the CEO's response. Conversely, investors evaluate a firm as less attractive when a male CEO uses a cooperative response rather than an uncooperative response. In the second experiment, where there is an added explanation for the CEO response, we find that investors react more positively to a female CEO's uncooperative response when the explanation is more communal (vs. agentic). Our interviews with CEOs and CFOs provide insights into how the gender of firms' leadership may play a role when activist shareholders target firms. Our results collectively suggest that investors rely on gender stereotypes when evaluating the responses of male and female executives to shareholder activism and that these evaluations affect their investment judgments. Our results also suggest a potential alternative explanation for the finding that female CEOs are more likely to cooperate with activist shareholders than are male CEOs. Rather than inherent differences in the management styles of male and female CEOs, responses to activist shareholders may be driven, at least in part, by managers anticipating that they will be penalized by investors for deviating from gender‐stereotypical behavior.Alternate abstract:RésuméLe genre du PDG et les réactions à l'activisme actionnarialDes études récentes ont mis en lumière que les entreprises dirigées par des femmes sont davantage ciblées par des actionnaires activistes et que les femmes PDG sont plus enclines à prendre en compte les demandes de ces derniers. Cette étude apporte une contribution significative en réalisant deux expériences contrôlées et en menant des entretiens semi‐structurés avec des PDG et des directeurs financiers. Les auteurs examinent l'influence de la réaction d'un PDG face à l'activisme actionnarial sur les investisseurs, en fonction du genre du PDG ou de l'explication donnée à sa réponse. Dans la première expérience, les investisseurs perçoivent négativement une entreprise lorsque c'est une femme PDG qui réagit à l'activisme actionnarial en ne favorisant pas la collaboration, plutôt qu'en la favorisant, sans aucune explication de la réponse du PDG. À l'inverse, les investisseurs perçoivent négativement une entreprise lorsque c'est un homme PDG qui réagit à l'activisme actionnarial en favorisant la collaboration plutôt qu'en ne la favorisant pas. Dans la deuxième expérience, où la réponse du PDG est expliquée, les investisseurs réagissent de manière plus positive quand une femme PDG favorise la collaboration, surtout si l'explication est plus communale (que agentique). Les entretiens avec les PDG et les directeurs financiers soulignent le rôle du genre du dirigeant dans la gestion de l'activisme actionnarial. Les investisseurs semblent se baser sur des stéréotypes de genre pour évaluer les réactions des dirigeants masculins et féminins à l'activisme actionnarial, ce qui influence leurs décisions d'investissement. Ces résultats suggèrent aussi une autre explication possible au fait que les femmes PDG sont plus susceptibles que les hommes PDG de collaborer avec les actionnaires activistes. Au‐delà des différences de style de gestion entre PDG masculins et féminins, les réactions de ces derniers face à l'activisme actionnarial peuvent être provoquées, du moins en partie, par la crainte d'être sanctionnés par les investisseurs s'ils ne se conforment pas aux comportements stéréotypés associés à leur genre.","2024","2025-02-06 16:37:35","2025-02-06 21:08:21","","1726-1753","","3","41","","","","","","","","","","English","","","ABI/INFORM Collection; International Bibliography of the Social Sciences (IBSS)","3105621046","","","Place: Toronto Publisher: Canadian Academic Accounting Association","","","https://libkey.io/libraries/3027/openurl?ctx_ver=Z39.88-2004&ctx_enc=info:ofi/enc:UTF-8&rfr_id=info:sid/ProQuest&rft_val_fmt=journal&rft.genre=article&rft.jtitle=Contemporary+Accounting+Research&rft.atitle=CEO+gender+and+responses+to+shareholder+activism&rft.au=Jackson%2C+Scott+C%3BRennekamp%2C+Kristina+M%3BSteenhoven%2C+Blake+A.&rft.aulast=Jackson&rft.aufirst=Scott&rft.date=2024-10-01&rft.volume=41&rft.issue=3&rft.spage=1726&rft.isbn=&rft.btitle=&rft.title=Contemporary+Accounting+Research&rft.issn=08239150&rft_id=info:doi/10.1111%2F1911-3846.12962","Activism; activisme actionnarial; Activists; Business And Economics--Accounting; CEO gender; Chief executive officers; Chief executives; Collaboration; Companies; engagement des investisseurs; Females; Gender; Gender differences; Gender stereotypes; Genre; genre du PDG; Interviews; investor engagement; Investors; Leadership; Males; Management styles; shareholder activism; Shareholder activism; Stereotyped behaviour; Stockholders","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TSZGPVLI","journalArticle","2024","Yu, Jialing; Yang, Stephanie Liu","Gender diversity and environmental activism: Gender discrimination or socialisation?","Business Strategy and the Environment","","09644733","10.1002/bse.3751","https://www.proquest.com/scholarly-journals/gender-diversity-environmental-activism/docview/3123664424/se-2?accountid=12006","This paper empirically investigates the association between different executive roles taken by women and environmental shareholder activism at the shareholder proposal filing stage and the withdrawal stage. Building on gender socialisation theory and the managerial power perspective, and with 2350 firm‐year observations from Standard and Poor's (S&P) 1500 companies in the United States for the years 2010–2018, we find that environmental activists display a greater propensity to target firms led by women CEO–Chairs at the shareholder proposal filing stage, while no significant preference is observed towards general women directors or CEOs. To explore the rationale behind this preference—whether it stems from gender discrimination or socialisation—we extend our investigation to the withdrawal stage and identify a significantly positive influence from both women CEOs and CEO–Chairs, with the influence from CEO–Chairs being more pronounced. We postulate that both the managerial power and women's socialised traits (such as being more altruistic, collaborative and communicative) are plausible explanations for this gender effect, and women without substantial legitimate power in environmental matters are unable to exert a significant impact.","2024-09","2025-02-06 16:37:35","2025-02-06 21:08:28","","5195-5213","","6","33","","","","","","","","","","English","","","ABI/INFORM Collection; International Bibliography of the Social Sciences (IBSS)","3123664424","","","Place: Chichester Publisher: Wiley Periodicals Inc.","","","https://libkey.io/libraries/3027/openurl?ctx_ver=Z39.88-2004&ctx_enc=info:ofi/enc:UTF-8&rfr_id=info:sid/ProQuest&rft_val_fmt=journal&rft.genre=article&rft.jtitle=Business+Strategy+and+the+Environment&rft.atitle=Gender+diversity+and+environmental+activism%3A+Gender+discrimination+or+socialisation%3F&rft.au=Yu%2C+Jialing%3BYang%2C+Stephanie+Liu.&rft.aulast=Yu&rft.aufirst=Jialing&rft.date=2024-09-01&rft.volume=33&rft.issue=6&rft.spage=5195&rft.isbn=&rft.btitle=&rft.title=Business+Strategy+and+the+Environment&rft.issn=09644733&rft_id=info:doi/10.1002%2Fbse.3751","Activism; Altruism; Chief executives; Environmental activism; environmental shareholder activism; Environmental Studies; Environmentalism; Filing; Gender; gender discrimination; gender disparity; gender diversity; gender socialisation theory; management; managerial power; Power; Sex discrimination; Shareholder activism; Social; Socialization; Stockholders; United States; Women; women directors on corporate boards; womens status","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VB8TNR86","journalArticle","2024","Jin, Jie; Mitson Renee; Qin, Yufan Sunny; Vielledent Marc; Men, Linjuan Rita","Can CEO Activism Be Good for the Organization? The Importance of Authenticity, Morality, and Timeliness","Journalism and Mass Communication Quarterly","","10776990","10.1177/10776990221116377","https://www.proquest.com/scholarly-journals/can-ceo-activism-be-good-organization-importance/docview/3095232044/se-2?accountid=12006","This research presents a model connecting the perceived morality, authenticity, and timeliness (MAT) of CEO activism to consumer trust and supportive behaviors (e.g., consumer advocacy and intention to work) toward the CEO’s organization. The results show that perceived MAT of CEO activism are positively associated with Millennial and Gen-Z consumers’ trust toward the CEO’s organization. There was a strong and positive association between consumer trust and consumers’ supportive behaviors. This model will advance theoretical understanding of how CEO activism can effectively contribute to younger consumer outcomes.","2024-09","2025-02-06 16:37:35","2025-02-06 21:08:20","","590-611","","3","101","","","","","","","","","","English","","","ABI/INFORM Collection; International Bibliography of the Social Sciences (IBSS)","3095232044","","","Place: Thousand Oaks Publisher: SAGE PUBLICATIONS, INC.","","","https://libkey.io/libraries/3027/openurl?ctx_ver=Z39.88-2004&ctx_enc=info:ofi/enc:UTF-8&rfr_id=info:sid/ProQuest&rft_val_fmt=journal&rft.genre=article&rft.jtitle=Journalism+and+Mass+Communication+Quarterly&rft.atitle=Can+CEO+Activism+Be+Good+for+the+Organization%3F+The+Importance+of+Authenticity%2C+Morality%2C+and+Timeliness&rft.au=Jin%2C+Jie%3BMitson+Renee%3BQin%2C+Yufan+Sunny%3BVielledent+Marc%3BMen%2C+Linjuan+Rita.&rft.aulast=Jin&rft.aufirst=Jie&rft.date=2024-09-01&rft.volume=101&rft.issue=3&rft.spage=590&rft.isbn=&rft.btitle=&rft.title=Journalism+and+Mass+Communication+Quarterly&rft.issn=10776990&rft_id=info:doi/10.1177%2F10776990221116377","Activism; advocacy; Advocacy; authenticity; Authenticity; CEO activism; Chief executive officers; Consumer behavior; consumer outcomes; consumption behavior; morality; Morality; organizational framework; Sociology; theoretical study; timeliness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I5MLXERN","journalArticle","2024","Gow, Ian D.; Shin, Sa-Pyung Sean; Srinivasan, Suraj","Activist directors: determinants and consequences","Review of Accounting Studies","","13806653","10.1007/s11142-023-09767-8","https://www.proquest.com/scholarly-journals/activist-directors-determinants-consequences/docview/3089700328/se-2?accountid=12006","This paper examines determinants and consequences of hedge fund activism, focusing on activist directors, i.e., directors appointed in response to activist demands. Using a sample of 3,259 activism events from 2004 to 2016, we identify 1,623 activist directors. Compared to other newly appointed directors, these activist directors tend to be younger, more likely to have finance and accounting skills, and less likely to be female. We find that the likelihood of acquiring board representation is associated with weaker market performance or lower payout ratios. Following the appointment of an activist director, we find evidence of increased divestiture, decreased acquisition activity, higher CEO turnover, increased leverage, higher payouts, and reduced investment. Our analysis of data on activists’ stated demands also shows that activist directors are effective in helping activists achieve their goals, consistent with the notion that board representation is an important mechanism for activists to bring about desired changes. Finally, we find positive abnormal returns of 1% when an activist director is appointed and a 3.2%-point increase in return on assets over the subsequent five years with an activist-affiliated director.","2024-09","2025-02-06 16:37:35","2025-02-06 21:08:18","","2578-2616","","3","29","","","","","","","","","","English","","","ABI/INFORM Collection","3089700328","","","Place: New York Publisher: Springer Nature B.V.","","","https://libkey.io/libraries/3027/openurl?ctx_ver=Z39.88-2004&ctx_enc=info:ofi/enc:UTF-8&rfr_id=info:sid/ProQuest&rft_val_fmt=journal&rft.genre=article&rft.jtitle=Review+of+Accounting+Studies&rft.atitle=Activist+directors%3A+determinants+and+consequences&rft.au=Gow%2C+Ian+D.%3BShin%2C+Sa-Pyung+Sean%3BSrinivasan%2C+Suraj.&rft.aulast=Gow&rft.aufirst=Ian&rft.date=2024-09-01&rft.volume=29&rft.issue=3&rft.spage=2578&rft.isbn=&rft.btitle=&rft.title=Review+of+Accounting+Studies&rft.issn=13806653&rft_id=info:doi/10.1007%2Fs11142-023-09767-8","52394:Portfolio Management and Investment Advice; Activists; Boards of directors; Business And Economics--Accounting; Hedge funds; Shareholder activism","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YX8RLLR2","journalArticle","2024","Wowak, Adam J; Busenbark, John R","Why Do Some Conservative CEOs Publicly Support Liberal Causes? Organizational Ideology, Managerial Discretion, and CEO Sociopolitical Activism","Organization Science","","10477039","10.1287/orsc.2022.17160","https://www.proquest.com/scholarly-journals/why-do-some-conservative-ceos-publicly-support/docview/3086410136/se-2?accountid=12006","The phenomenon of chief executive officers (CEOs) speaking out on contested social issues is a recent one, as CEO sociopolitical activism was seen as overly risky, and even taboo, for most of American business history. Yet, CEOs are increasingly choosing sides in societal debates despite the inherent risk of alienating stakeholders who disagree with the CEO's stance. Even more puzzlingly, conservative CEOs sometimes espouse liberal stances in such debates, which runs counter to the otherwise consistent evidence in the upper echelons literature that CEOs are guided by their own values in their actions. Our study addresses this paradox by examining the antecedents of CEO liberal activism, with an emphasis on the interplay between the CEO's ideology and the prevailing ideological tilt of the employee population in driving CEOs' activism decisions. Drawing on the concept of managerial discretion, or latitude of action, we theorize that a pronounced organizational ideology constrains a CEO's ability to act in accordance with their own values-particularly in the highly symbolic domain of activism. We also argue that conservative CEOs are relatively more focused on instrumental rationales for activism, whereas liberal CEOs tend to prioritize more intrinsic rationales, a consequence of which is that conservative CEOs more heavily weight organizational ideology in their activism decisions. We test our theory in the context of a highly publicized letter signed by nearly 100 CEOs of public companies in opposition to North Carolina's controversial 2016 ""bathroom bill."" Relying on a variety of novel data sources, we find robust support for our theory.","2024-08","2025-02-06 16:37:35","2025-02-06 21:08:38","","1388","","4","35","","","","","","","","","","English","","","ABI/INFORM Collection; International Bibliography of the Social Sciences (IBSS); ProQuest One Psychology","3086410136","","","Place: Linthicum Publisher: Institute for Operations Research and the Management Sciences","","","https://libkey.io/libraries/3027/openurl?ctx_ver=Z39.88-2004&ctx_enc=info:ofi/enc:UTF-8&rfr_id=info:sid/ProQuest&rft_val_fmt=journal&rft.genre=article&rft.jtitle=Organization+Science&rft.atitle=Why+Do+Some+Conservative+CEOs+Publicly+Support+Liberal+Causes%3F+Organizational+Ideology%2C+Managerial+Discretion%2C+and+CEO+Sociopolitical+Activism&rft.au=Wowak%2C+Adam+J%3BBusenbark%2C+John+R.&rft.aulast=Wowak&rft.aufirst=Adam&rft.date=2024-07-01&rft.volume=35&rft.issue=4&rft.spage=1388&rft.isbn=&rft.btitle=&rft.title=Organization+Science&rft.issn=10477039&rft_id=info:doi/10.1287%2Forsc.2022.17160","Activism; Business And Economics--Management; Business history; Chief executive officers; Chief executives; Corporate culture; Corporate governance; Ideology; Social issues; Sociopolitical factors; State laws; Taboos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TY7NJ98K","journalArticle","2024","Gregorio Sánchez‐Marín; Gabriel Lozano‐Reina; J Samuel Baixauli‐Soler","Shareholder activism in listed family firms: Exploring the effectiveness of say‐on‐pay on CEO compensation","Business Ethics, the Environment & Responsibility","","26946416","10.1111/beer.12604","https://www.proquest.com/scholarly-journals/shareholder-activism-listed-family-firms/docview/3066449699/se-2?accountid=12006","The widespread critical evidence surrounding executive compensation of listed corporations has boosted shareholder activism in recent decades. The say‐on‐pay (SOP) mechanism—a vote in which shareholders express their (dis)agreement with executive pay designs—is one of the corporate governance mechanisms that has led to this activism among listed firms. Merging agency and socioemotional wealth (SEW) arguments, this paper analyzes how effective SOP voting results are among listed family firms in terms of CEO compensation efficiency and equity. Using a sample of UK listed firms from 2011 to 2018, our results show that SOP effectiveness is positively influenced by family ownership and is strongly moderated by family involvement in management and in governance as well as by family generation. Our findings stress the strong family effect and the ethical perceptions of family shareholders on SOP voting, showing how family participation in the firm encourages fairer and more aligned CEO compensation packages. SOP institutional and practical implications oriented to preserve shareholder value and family wealth are finally outlined.","2024-07","2025-02-06 16:37:35","2025-02-06 21:08:32","","308-330","","3","33","","","","","","","","","","English","","","ABI/INFORM Collection; International Bibliography of the Social Sciences (IBSS); ProQuest One Psychology","3066449699","","","Place: Oxford Publisher: Blackwell Publishing Ltd.","","","https://libkey.io/libraries/3027/openurl?ctx_ver=Z39.88-2004&ctx_enc=info:ofi/enc:UTF-8&rfr_id=info:sid/ProQuest&rft_val_fmt=journal&rft.genre=article&rft.jtitle=Business+Ethics%2C+the+Environment+%26+Responsibility&rft.atitle=Shareholder+activism+in+listed+family+firms%3A+Exploring+the+effectiveness+of+say%E2%80%90on%E2%80%90pay+on+CEO+compensation&rft.au=Gregorio+S%C3%A1nchez%E2%80%90Mar%C3%ADn%3BGabriel+Lozano%E2%80%90Reina%3BJ+Samuel+Baixauli%E2%80%90Soler.&rft.aulast=Gregorio+S%C3%A1nchez%E2%80%90Mar%C3%ADn&rft.aufirst=&rft.date=2024-07-01&rft.volume=33&rft.issue=3&rft.spage=308&rft.isbn=&rft.btitle=&rft.title=Business+Ethics%2C+the+Environment+%26+Responsibility&rft.issn=26946416&rft_id=info:doi/10.1111%2Fbeer.12604","Activism; CEO compensation; Companies; Compensation; Corporate governance; Executive compensation; family heterogeneity; family listed firms; Family owned businesses; family ownership; Family relations; Ownership; Parent participation; Philosophy; say-on-pay effectiveness; say‐on‐pay effectiveness; Shareholder activism; Shareholder voting; Stockholders; Wealth","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
